date_only,sentiment_mean,sentiment_min,sentiment_max,tweet_count
2017-10-05,-0.6878,-0.9382,-0.4374,2
2017-10-06,0.0,0.0,0.0,1
2017-10-08,0.162825,-0.1955,0.5754,4
2017-10-11,0.3933,-0.2714,0.8519,3
2017-10-12,0.318,0.318,0.318,1
2017-10-13,-0.66435,-0.8883,-0.4404,2
2017-10-14,0.4739333333333334,0.0,0.8807,3
2017-10-16,0.3801,0.3801,0.3801,1
2017-10-18,-0.6124,-0.6124,-0.6124,1
2017-10-19,0.0577,0.0,0.1154,2
2017-10-20,0.51935,0.4926,0.5461,2
2017-10-22,0.8439,0.8439,0.8439,1
2017-10-24,0.340725,-0.802,0.8901,4
2017-10-25,0.6663,0.4574,0.8622,3
2017-10-28,-0.9072,-0.9072,-0.9072,1
2017-10-31,-0.4993,-0.8516,0.0,4
2017-11-01,-0.25202,-0.8689,0.4201,5
2017-11-02,-0.5255,-0.5255,-0.5255,1
2017-11-03,-0.08552499999999999,-0.5848,0.784,4
2017-11-04,0.71115,0.5707,0.8516,2
2017-11-05,0.729,0.729,0.729,1
2017-11-06,0.8999,0.8999,0.8999,1
2017-11-07,0.8074,0.8074,0.8074,1
2017-11-08,0.5204333333333334,0.0,0.9078,6
2017-11-09,-0.08055000000000001,-0.8908,0.7297,2
2017-11-10,0.8986,0.8986,0.8986,1
2017-11-11,0.21075,0.0,0.4215,2
2017-11-12,0.5994,0.5994,0.5994,1
2017-11-15,0.46315,0.1027,0.8236,2
2017-11-16,0.456925,0.0,0.6705,4
2017-11-17,0.3054,0.3054,0.3054,1
2017-11-19,-0.2347,-0.6938,0.2244,2
2017-11-20,0.604,0.604,0.604,1
2017-11-22,-0.24029999999999999,-0.8311,0.7902,3
2017-11-23,0.4782,0.0,0.9564,2
2017-11-24,-0.5833,-0.9123,0.0,3
2017-11-26,-0.9587,-0.9587,-0.9587,1
2017-11-28,0.5295666666666666,0.128,0.8316,3
2017-11-29,-0.2139,-0.2767,-0.1511,2
2017-11-30,-0.8288,-0.8288,-0.8288,1
2017-12-01,0.863,0.7959,0.9301,2
2017-12-02,0.5707,0.5707,0.5707,1
2017-12-04,-0.617,-0.8353,-0.3987,2
2017-12-07,0.3806,-0.743,0.9496,3
2017-12-08,-0.4926,-0.4926,-0.4926,1
2017-12-09,0.918525,0.8832,0.9523,4
2017-12-12,-0.8266,-0.945,-0.7082,2
2017-12-22,0.15564999999999998,-0.1531,0.4644,2
2017-12-27,-0.2062,-0.2062,-0.2062,1
2017-12-28,-0.2595,-0.7726,0.2003,3
2017-12-29,0.6533,0.6533,0.6533,1
2017-12-30,0.1578,-0.4574,0.5093,3
2017-12-31,-0.49615000000000004,-0.68,-0.3123,2
2018-01-01,0.8672,0.8672,0.8672,1
2018-01-02,-0.1448,-0.9414,0.9073,3
2018-01-03,0.21286666666666668,-0.8631,0.9184,3
2018-01-04,0.06639999999999999,-0.1386,0.2714,2
2018-01-07,0.58615,0.5095,0.6628,2
2018-01-10,0.837,0.837,0.837,1
2018-01-12,0.3235,-0.8625,0.9096,4
2018-01-14,-0.719,-0.719,-0.719,1
2018-01-15,-0.025150000000000006,-0.6902,0.6399,2
2018-01-16,0.08495,-0.296,0.4659,2
2018-01-18,0.027700000000000002,-0.3382,0.3936,2
2018-01-19,0.9595,0.9595,0.9595,1
2018-01-20,0.31492,-0.2942,0.9201,5
2018-01-21,-0.17336666666666667,-0.2263,-0.0935,3
2018-01-23,0.8868499999999999,0.8553,0.9184,2
2018-01-24,0.616,0.616,0.616,1
2018-01-28,0.7126,0.7126,0.7126,1
2018-02-05,-0.8619,-0.8619,-0.8619,1
2018-02-06,-0.8316,-0.8316,-0.8316,1
2018-02-07,0.47325,0.0,0.9465,2
2018-02-08,0.46795,0.0,0.9359,2
2018-02-09,0.073125,-0.6114,0.7959,4
2018-02-11,0.9761,0.9761,0.9761,1
2018-02-12,0.8439,0.8439,0.8439,1
2018-02-13,0.8074,0.8074,0.8074,1
2018-02-17,0.2401,0.2401,0.2401,1
2018-02-18,-0.012866666666666693,-0.8807,0.5707,3
2018-02-20,0.9508,0.9508,0.9508,1
2018-02-21,0.9633,0.9633,0.9633,1
2018-02-22,0.028999999999999988,-0.9364,0.743,3
2018-02-27,0.9154,0.9078,0.923,2
2018-02-28,0.7345,0.7345,0.7345,1
2018-03-02,0.46905,0.0,0.9381,2
2018-03-07,0.5551,0.5551,0.5551,1
2018-03-08,0.8579,0.7845,0.9313,2
2018-03-09,0.7353,0.4574,0.9097,3
2018-03-10,0.606375,0.4753,0.8221,4
2018-03-12,0.046550000000000036,-0.8016,0.8947,2
2018-03-13,0.7689,0.5562,0.9816,2
2018-03-14,0.7037,0.4258,0.9816,2
2018-03-16,0.608,0.608,0.608,1
2018-03-18,0.7184,0.7184,0.7184,1
2018-03-21,0.1583,-0.6319,0.9485,2
2018-03-22,0.08343333333333336,-0.9299,0.5984,3
2018-03-23,-0.76185,-0.8647,-0.659,2
2018-03-24,-0.9665,-0.9665,-0.9665,1
2018-03-25,0.53945,0.5378,0.5411,2
2018-03-27,0.25,0.25,0.25,1
2018-03-28,0.23295,-0.3609,0.8268,2
2018-03-31,-0.9567,-0.9567,-0.9567,1
2018-04-01,-0.7974,-0.7974,-0.7974,1
2018-04-02,-0.349,-0.698,0.0,2
2018-04-03,-0.4497,-0.8994,0.0,2
2018-04-04,-0.9324,-0.9324,-0.9324,1
2018-04-05,-0.9302,-0.9302,-0.9302,1
2018-04-06,-0.24190000000000003,-0.936,0.4522,2
2018-04-07,-0.6996,-0.6996,-0.6996,1
2018-04-08,0.22123333333333337,-0.836,0.8409,3
2018-04-09,0.006450000000000011,-0.872,0.8849,2
2018-04-10,0.9498000000000001,0.934,0.9577,3
2018-04-11,-0.362725,-0.7835,0.0038,4
2018-04-12,0.6239,0.6239,0.6239,1
2018-04-14,0.92875,0.8974,0.9601,2
2018-04-15,0.87355,0.8432,0.9039,2
2018-04-16,0.14079999999999998,-0.2003,0.4819,2
2018-04-17,0.12446666666666667,-0.7906,0.824,3
2018-04-18,0.66125,0.5848,0.7377,2
2018-04-19,0.780125,0.6749,0.9117,4
