date,sentiment_mean,sentiment_min,sentiment_max,tweet_count,AIR.PA,BA,BA.L,GD,HO.PA,LMT,NOC,RHM.DE,RTX,SAF.PA
2017-01-24,0.0,0.0,0.0,1,0.001680617844362,0.0171693885975547,-0.0033331874183756,0.0001125459790218,-0.0033764958462781,-0.0177491099567712,0.0038841451390407,0.0147463664539202,0.0115098960373654,-0.0096139219229182
2017-01-27,-0.2481,-0.2481,-0.2481,1,-0.0036974095395796,-0.0083962123962735,-0.0058723785161773,0.0442190892034408,0.0056367023095371,-0.00576532639046,0.0126451523368609,-0.0030608539825064,-0.0059804631444747,-0.0131824542111782
2017-01-30,-0.0868,-0.0868,-0.0868,1,-0.0213390536459762,-0.0127013020252679,-0.0126584436639584,-0.0144217486618993,-0.0147564521984496,-0.0026431141159447,-0.0015227470054168,-0.003628843481796,-0.0048311453964333,-0.0128870055604731
2017-02-02,-0.1497666666666666,-0.2714,0.0,3,-0.0041205882820893,-0.0104286620637129,0.0017167677889209,-0.0037013229420969,0.0069326593396041,0.0042644823902966,0.0045010959845861,-0.0133275865738534,0.0016638528540153,0.0065359494362815
2017-02-03,-0.6883,-0.7119,-0.6448,3,0.0035011148879791,0.0008627543101709,0.0,0.0153028722261647,-0.0027087374714015,0.0098822520440893,0.0065696909041919,-0.0072623201144005,0.0119047602547248,0.0058600958615095
2017-02-07,-0.8501333333333334,-0.8516,-0.8494,3,-0.0036443989053206,0.01536789148454,0.0170068901967623,0.0009286132738939,0.0109856432018142,0.004151981556109,0.0006874488783525,-0.0034074491127743,0.0051500709156724,0.004599368071533
2017-02-09,0.381,0.126,0.636,2,0.0195955038423976,0.0028695326398255,0.000833940713004,-0.003003264170205,0.0007845618782456,0.0056865750797661,0.0104119297061129,-0.0106320619997337,-0.0028079736084083,0.003308629723538
2017-02-10,-0.828,-0.828,-0.828,1,0.0060936617939941,0.0118699122065721,0.0200002469330053,0.0099130098407591,0.0005601064485338,0.0091014451636852,0.0060041446712235,0.003283604459064,0.0087195366351642,0.003140789728629
2017-02-17,0.0,0.0,0.0,1,-0.0056256196717363,0.01112352365411,0.0049708863303365,0.001695356712043,0.011925213563499,7.548197221773911e-05,0.0002054844736063,0.0251242016969959,0.0007138034031157,-0.0080123932765951
2017-02-24,0.0,0.0,0.0,1,-0.0101378776462099,0.0032794601996517,0.0090236427395253,0.0070631834711289,0.0013482301335114,0.0043420472192117,0.0048798932810418,-0.0153740309119856,0.0033008516161205,-0.0074252397351053
