Date,AIR.PA,BA,BA.L,GD,HO.PA,LMT,NOC,RHM.DE,RTX,SAF.PA
2017-01-04,-0.0015748012343825835,0.010511448467218854,-0.010152252713004684,0.0005132816827884135,-0.00408164891008489,0.0026843213620741935,0.0015326579694259213,-0.013688208991942341,0.0006318348266542984,-0.0027657656529439523
2017-01-05,0.01892735406830348,0.0005675480192832705,0.004273264104194263,0.003417922278836194,-0.004319937962943388,0.007835042088824906,0.0031457719522185457,0.005925600767047401,0.004057644101620461,-0.010947094967780124
2017-01-06,0.008359176820591951,0.0024571155817008083,0.029787442904934736,0.007493582325114323,-0.004004797080540912,0.007305534264332447,0.0031355321924235735,0.005890555754053617,0.0107768137960913,-0.0008856732508487619
2017-01-09,0.0021492013784765174,-0.004902599699848409,-0.012396807536689036,-0.007832321328098524,0.005249693129374622,-0.0001553432564631585,-0.0038860666172384484,-0.010170921093682561,-0.009329415173787381,-0.0013294126078463586
2017-01-10,-0.0012255282120576805,0.004737351037795046,0.020920559112526993,0.0016469276631840835,0.00033327499600077637,-0.006360994925622365,-0.011450197804044882,0.0003112814590047197,-0.0021519653083148516,-0.004141354075281378
2017-01-11,0.003987804564279829,0.0020745359634171123,0.0,0.004025938342765878,-0.0012219688095168602,-0.004060088642657611,-0.006691953858781519,0.021167326316083424,-0.002337223373502617,0.00445554277273752
2017-01-12,-0.011762855289896401,-0.006963716831976607,0.0122948939872638,-0.003106287855673573,-0.00711743164944767,-0.009838122579910125,-0.010364773479923262,-0.004115210858822493,-0.0016217174699042491,-0.006210102789806271
2017-01-13,0.014685338153082261,0.0034114519189689663,-0.009716472266496745,0.007761386359151468,0.0014562767661880915,0.007560952812238453,0.004450984498465704,-0.005968931642815867,-0.005414076531217948,0.006546590554102227
2017-01-16,-0.007007796193691185,0.0,0.0,0.0,-0.0038025796281838664,0.0,0.0,0.00523492031319428,0.0,-0.006652036946331319
2017-01-17,0.002608053330616089,-0.00730350409451741,-0.010629484163452219,-0.010793054903801003,-0.001010669643377371,-0.0016109707976238452,-0.007342485737551252,0.011027772782028933,-0.0022679123480867647,-0.0011903490568273556
2017-01-18,-0.0078042011592066585,0.00412265848425708,0.0,0.0044517904650973605,-0.0034838607056261184,-0.00019679929369986748,0.007703176468292217,0.04484156824802854,0.004092026761925993,0.0022348956280446863
2017-01-19,0.009870624638885328,0.004295134516361321,-0.004958662297600891,0.010341332045442186,-0.0005638577848665616,0.01165040369432857,0.009338172114907284,0.004059805511863468,0.0028073290473376034,-0.05425906060852381
2017-01-20,-0.0021381726155866865,0.0033333885378799,-0.002491839130233986,0.0026427957315107165,0.004513407198717401,0.0027233146018446064,-0.0012048234971268057,0.008808506455720622,0.0005418000906187714,0.013046304449702228
2017-01-23,0.0016835128482846073,-0.010593667094318526,-0.0008326539833831692,-0.005889208732356321,-0.0019094171142016725,-0.0009699114289672961,-0.0018094533895556264,-0.009876761264449474,-0.004061740846781237,0.01675721228221727
2017-01-24,0.00168061784436202,0.01716938859755479,-0.003333187418375627,0.00011254597902188301,-0.0033764958462781935,-0.01774910995677126,0.0038841451390407844,0.014746366453920245,0.011509896037365408,-0.009613921922918212
2017-01-25,-0.0025930023555138515,0.04241667103185054,0.00418046958079521,-0.010888437915832605,-0.014116158797484846,-0.007551821665620628,-0.0075237689704232835,0.022652656266111126,-0.005823794489141276,0.00030808562893991365
2017-01-26,-0.00734053713510141,0.010516073106464185,-0.0074934780365719655,0.011293792712301798,-0.004238481562145124,0.015816695968774663,-0.016808008433286448,0.0012538057047470907,-0.005407447076557492,-0.006777452860500688
2017-01-27,-0.0036974095395796436,-0.008396212396273528,-0.00587237851617739,0.044219089203440864,0.005636702309537167,-0.005765326390460013,0.012645152336860921,-0.0030608539825064396,-0.005980463144474757,-0.013182454211178252
2017-01-30,-0.021339053645976214,-0.01270130202526798,-0.012658443663958407,-0.01442174866189938,-0.014756452198449677,-0.0026431141159447558,-0.0015227470054168801,-0.00362884348179604,-0.004831145396433367,-0.012887005560473175
2017-01-31,-0.008374248524843142,-0.012985472914071039,-0.0051280843726861924,-0.0076175127946824794,0.00754673993431787,-0.0059326380393437406,-0.0017432888430207738,-0.007704275391721915,0.004579999554257919,-0.0017513812995150202
2017-02-01,0.005417511671699682,0.003365491376545293,0.0008590160657884205,-0.000276101990657307,0.013943294433166997,-0.0017110135148595829,-0.0011345604269679122,-0.014963205103559973,-0.013586354771503828,0.0004784754648889944
2017-02-02,-0.004120588282089388,-0.010428662063712957,0.0017167677889209365,-0.0037013229420969074,0.006932659339604186,0.004264482390296642,0.004501095984586145,-0.013327586573853467,0.0016638528540153796,0.006535949436281552
2017-02-03,0.0035011148879791065,0.0008627543101709101,0.0,0.015302872226164776,-0.0027087374714015455,0.009882252044089324,0.006569690904191905,-0.007262320114400533,0.011904760254724867,0.0058600958615095955
2017-02-06,0.0007928266368522063,0.009729085855283648,0.007711900196469834,-0.00043671995876259917,-0.0006794322843216571,0.00334027526875591,0.006310212509723856,-0.012435958326672991,0.009393573469852923,-0.007242943908166488
2017-02-07,-0.003644398905320645,0.015367891484540097,0.01700689019676238,0.0009286132738939301,0.010985643201814277,0.0041519815561090745,0.0006874488783525923,-0.0034074491127743523,0.005150070915672433,0.00459936807153305
2017-02-08,-0.0017494436441702899,-0.007693576722408224,0.002508302224413672,-0.0003818660738805768,-0.0006721018577594551,0.0014433206542809884,-0.002403544723392992,0.0066896585396047925,-0.007640333275349742,0.00205253084085788
2017-02-09,0.01959550384239761,0.0028695326398255894,0.0008339407130040222,-0.0030032641702050222,0.0007845618782456043,0.00568657507976611,0.010411929706112932,-0.010632061999733766,-0.002807973608408343,0.00330862972353807
2017-02-10,0.006093661793994176,0.011869912206572186,0.020000246933005394,0.009913009840759157,0.0005601064485338814,0.009101445163685273,0.006004144671223566,0.00328360445906406,0.008719536635164227,0.0031407897286290787
2017-02-13,0.02267444800749785,0.0108284619553487,0.006535760060086604,0.011930366472758136,0.006380830750859046,0.006908586068290479,0.011979088295022144,0.005206855459398474,0.008735251537118405,0.006887727764685492
2017-02-14,0.005466976294110859,0.0027968818569175102,-0.017045254075184535,0.0033760529287560903,-0.011679509300764668,0.0008001522628491298,0.0022585103616148405,0.05490593953587419,-0.004016940856963025,-0.0018655687013520161
2017-02-15,0.0016613264419627072,0.00474785838932279,0.004954465930311791,0.004059456004274153,-0.0027014201783723824,0.003427998090370865,0.008221238900803174,-0.00799665874787392,0.00901606175934666,0.028816313781762304
2017-02-16,-0.008293243221825009,0.00891900894503217,-0.008217069066945637,0.003989595458108619,-0.006319810527924186,0.007097822764958517,0.008030125624022055,-0.003677084841048339,0.0014296477811341912,-0.017411121114155437
2017-02-17,-0.005625619671736359,0.011123523654110068,0.004970886330336599,0.0016953567120430169,0.01192521356349907,7.548197221773911e-05,0.00020548447360635436,0.025124201696995918,0.0007138034031157758,-0.008012393276595198
2017-02-20,0.017278240818187518,0.0,0.009068786562864473,0.0,0.011784374833160971,0.0,0.0,0.0,0.0,0.0133582829121619
2017-02-21,0.010671942621412578,0.016501539159812006,-0.005719052651418033,0.0028032282938768027,-0.0038823068476246947,0.0011679733313245677,0.002216785896548723,0.004569527236277127,0.0031208953214061363,-0.0010729970874253647
2017-02-22,-0.008031039186417788,-0.001139138901705028,-0.004930040214036202,0.0015823511561379178,-0.006458706145907933,0.000978946885183074,-0.004669924629999822,-0.00758115360169731,0.0014224155463993249,-0.006751516703236482
2017-02-23,0.03523273122171333,0.008553843451060805,0.006606224204547928,-0.008373025590102334,-0.0025779182649874333,-0.004023757473846312,0.003621596278458483,-0.006249811098526292,-0.005059710467595346,0.01946528876865372
2017-02-24,-0.010137877646209992,0.0032794601996517514,0.009023642739525384,0.007063183471128998,0.0013482301335114855,0.00434204721921172,0.0048798932810418805,-0.015374030911985637,0.0033008516161205925,-0.007425239735105338
2017-02-27,0.0,0.011214966334593734,0.004878033241027646,0.004060278155546548,0.006845524826777805,0.019607593255872136,0.014487061590447103,0.008374733898998565,0.0031122925865689766,0.004122130395495471
2017-02-28,0.014191732414640112,0.004458642111214495,0.019417315105904942,-0.003098565397545161,0.03655826223728775,-0.010320696776510707,-0.006074046351233875,0.015202836597944414,-0.0023046434658259285,0.021134313121931037
2017-03-01,0.02596656273934883,0.020418188858672748,0.013492201008703297,0.013697845907296502,-0.010752975171943402,0.006752132614358031,-0.0046947159881590705,0.050748836343510684,0.010039770938707449,0.011465108119325551
2017-03-02,0.008155075778186971,-0.005002340577233588,0.018793797611466934,-0.007068294157546062,-0.003043175773742468,-0.005179155539114744,-0.007998861437587546,-0.010293156885869292,-0.008708445367760276,0.012365534501460385
2017-03-03,-0.007391938680172738,-0.0044263846373894244,-0.01076095325767401,-0.00732819919175931,0.0,0.002884171573930283,-0.0005760474787296355,-0.006666631170328063,-0.0031058073111673856,-0.002472022093020776
2017-03-06,-0.0016859451899924327,-0.006861533735105452,0.0,0.006802459457895038,-0.0009815677055368122,-0.0001494375029311712,-4.0931508233144065e-05,0.003758453433602149,-0.006053210680943555,0.005830883574369894
2017-03-07,-0.01210414946443783,0.006024748338263164,0.0007771095198294553,0.0027756274128263314,-0.0034919589783478644,0.004930656922964571,0.0035399946235279423,-0.008959572272420946,0.005552288917718418,-0.002898330922503578
2017-03-08,0.003989142968739756,-0.0015384269210457768,0.008540521249676747,-0.0056930274286277616,0.003723553693927073,-0.004906464828192125,-0.0008614101003462382,0.004048014571181424,-0.004720203842064397,0.007267219817377324
2017-03-09,-0.0058179621552706395,-0.006437661500448,-0.010007682337692891,-0.0002098375601218283,-0.02105846620405627,0.0035858797456840286,0.002258057067694663,-0.014514243890455525,0.0016110576660044451,-0.002308734664068446
2017-03-10,0.0,-0.010356189780281855,-0.009331420533676416,0.0026266970765262965,-0.008805275559489956,-7.4390889485354e-05,-0.002171000229442388,0.010091325751561353,0.0018762439319861546,-0.0013016048919333167
2017-03-13,-0.0015702154724369644,0.001958464446264019,-0.003139675933005237,0.003772943983428201,-0.0038232066113957908,0.0019724775003031603,0.0034072176618304972,-0.002295059464556437,0.0015159182735520194,-0.00477921062844977
2017-03-14,0.0035739772503191602,-0.0017871325544740468,0.004724395024638728,-0.009448726506399496,0.002822141122543309,-0.00442064036967138,-0.0026591163582866395,0.0005411597758908648,-0.004274066132303189,-0.004656560879038096
2017-03-15,0.003276325025279192,-0.00011192999354070476,0.00470237199031831,0.010065731386207366,-0.003264198608608271,0.005373561778597047,0.00028697967846857964,-0.0017580455722842059,0.011177681112131355,-0.00818728670814961
